"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"ADM","Archer-Daniels-Midland Co","1.41%","40.39","-0.36","-0.88%","1.36 M","28.92 - 47.20",
"BF.b","Brown-Forman Corp B","0.75%","67.06","+0.96","+1.45%","495.27 K","44.68 - 72.85",
"CAG","Conagra Brands, Inc","1.04%","34.25","0.00","0.00%","1.29 M","22.83 - 35.59",
"CL","Colgate-Palmolive Co","3.93%","73.81","+0.28","+0.37%","1.40 M","58.49 - 77.41",
"CLX","Clorox Co","1.63%","211.92","+3.19","+1.53%","852.29 K","144.12 - 214.26",
"COST","Costco Wholesale Corp","4.30%","300.36","-1.00","-0.33%","1.54 M","260.43 - 325.26",
"CPB","Campbell Soup Co","0.52%","49.38","+0.21","+0.43%","693.05 K","39.24 - 57.54",
"EL","Estee Lauder Cos. A","2.72%","196.09","-0.11","-0.06%","431.65 K","137.01 - 220.42",
"GIS","General Mills Inc","2.33%","61.58","-0.21","-0.34%","2.17 M","46.59 - 64.31",
"HRL","Hormel Foods Corp","0.83%","47.95","+0.15","+0.31%","1.07 M","39.01 - 51.53",
"HSY","Hershey Foods Corp","1.23%","132.18","-0.40","-0.30%","496.40 K","109.88 - 162.20",
"KMB","Kimberly-Clark","3.01%","141.64","+1.00","+0.71%","918.98 K","110.66 - 149.23",
"K","Kellogg Co","1.04%","67.24","+0.56","+0.84%","1.78 M","52.66 - 71.05",
"KO","Coca-Cola Co","9.92%","46.70","-0.07","-0.15%","8.73 M","36.27 - 60.13",
"KR","Kroger Co","1.63%","32.58","+0.05","+0.15%","10.67 M","20.70 - 36.84",
"MDLZ","Mondelez International Inc","4.72%","52.85","+0.27","+0.51%","3.33 M","41.19 - 59.96",
"MKC","McCormick & Co","1.33%","174.04","+1.07","+0.62%","278.52 K","112.23 - 180.38",
"MNST","Monster Beverage Corp New","1.65%","69.53","+0.03","+0.04%","975.39 K","50.06 - 73.43",
"MO","Altria Group Inc","4.79%","41.06","-0.03","-0.07%","5.62 M","30.95 - 52.45",
"PG","Procter & Gamble","16.21%","118.10","-0.03","-0.03%","3.67 M","94.34 - 128.09",
"PM","Philip Morris International","4.38%","74.42","-0.24","-0.32%","3.12 M","56.01 - 90.17",
"SJM","J.M. Smucker Co","0.77%","108.84","+0.77","+0.71%","382.15 K","91.88 - 125.62",
"STZ","Constellation Brands Inc A","1.85%","179.04","+1.58","+0.89%","547.48 K","104.28 - 212.00",
"SYY","Sysco Corp","1.80%","54.63","-1.90","-3.37%","1.69 M","26.00 - 85.98",
"TAP","Molson Coors Beverage Co B","0.47%","38.92","-0.88","-2.21%","1.44 M","34.01 - 61.94",
"TSN","Tyson Foods Inc A","1.19%","63.66","-1.19","-1.84%","1.60 M","42.57 - 94.24",
"WMT","Walmart Inc.","9.34%","118.96","-0.69","-0.58%","4.25 M","102.00 - 133.38",
"WBA","Walgreens Boots Alliance Inc","1.97%","42.24","+0.09","+0.20%","2.60 M","36.65 - 64.50",
"KHC","The Kraft Heinz Company","1.27%","32.90","+0.17","+0.52%","3.48 M","19.99 - 34.00",
"CHD","Church & Dwight Co","1.14%","75.45","+0.71","+0.95%","662.19 K","47.98 - 80.99",
"COTY","Coty Inc.","0.09%","4.88","-0.16","-3.21%","9.05 M","3.02 - 13.82",
"PEP","PepsiCo Inc","10.10%","132.11","+0.44","+0.33%","1.86 M","101.42 - 147.20",
"LW","Lamb Weston Holdings Inc","0.62%","67.93","-0.03","-0.04%","856.28 K","39.06 - 96.32",
