"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AAPL","Apple Inc.","21.19%","353.96","+1.88","+0.53%","20.74 M","192.17 - 354.77",
"ACN","Accenture plc A","1.87%","204.91","+0.51","+0.25%","876.80 K","137.15 - 216.39",
"ADBE","Adobe Inc.","2.87%","414.96","+3.29","+0.80%","1.45 M","255.13 - 414.68",
"ADI","Analog Devices Inc","0.65%","123.04","+0.35","+0.29%","880.44 K","79.08 - 127.39",
"ADP","Automatic Data Processing","0.95%","151.33","-0.45","-0.30%","673.07 K","103.11 - 182.32",
"ADSK","Autodesk Inc","0.76%","237.90","-3.03","-1.26%","752.33 K","125.38 - 241.77",
"ADS","Alliance Data Systems Corp","0.03%","50.92","-2.16","-4.07%","1.06 M","20.51 - 159.41",
"AKAM","Akamai Technologies Inc","0.23%","101.78","+1.74","+1.74%","1.17 M","75.18 - 108.25",
"AMAT","Applied Materials Inc","0.78%","60.26","+1.72","+2.94%","5.14 M","36.64 - 69.44",
"APH","Amphenol Corp A","0.42%","98.78","+0.21","+0.21%","678.20 K","63.05 - 110.24",
"CRM","Salesforce.com","2.31%","181.84","+1.36","+0.75%","3.11 M","115.29 - 195.72",
"CSCO","Cisco Systems Inc","2.84%","46.20","-0.29","-0.61%","9.69 M","32.40 - 58.26",
"CTSH","Cognizant Tech Solutions Corp","0.44%","55.61","+0.24","+0.43%","1.18 M","40.01 - 71.48",
"CTXS","Citrix Systems Inc","0.24%","145.78","+0.32","+0.22%","535.83 K","90.28 - 155.10",
"FFIV","F5 Networks Inc","0.12%","140.93","-0.85","-0.60%","332.22 K","79.78 - 153.99",
"FIS","Fidelity National Information","1.25%","139.08","-1.50","-1.07%","2.45 M","91.68 - 158.21",
"FISV","Fiserv Inc","0.85%","103.59","+0.27","+0.26%","2.06 M","73.50 - 125.05",
"FLIR","FLIR Systems Inc","0.08%","41.65","-1.48","-3.43%","1.03 M","23.85 - 59.44",
"GLW","Corning Inc","0.31%","27.49","-0.17","-0.61%","2.94 M","17.44 - 34.26",
"HPQ","HP Inc","0.37%","16.93","-0.33","-1.88%","8.22 M","12.54 - 23.93",
"IBM","Intl Business Machines Corp","1.60%","124.57","-0.59","-0.47%","2.08 M","90.56 - 158.75",
"INTC","Intel Corp","3.79%","61.05","+0.65","+1.08%","11.06 M","43.63 - 69.29",
"INTU","Intuit Inc","1.08%","288.60","+0.02","+0.01%","441.82 K","187.68 - 306.89",
"JNPR","Juniper Networks Inc","0.12%","24.03","-0.34","-1.40%","2.45 M","15.20 - 27.57",
"KLAC","KLA Corporation","0.44%","193.98","+0.99","+0.51%","737.74 K","107.89 - 196.97",
"LRCX","Lam Research Corp","0.64%","312.79","+7.31","+2.39%","1.23 M","172.38 - 344.32",
"MA","Mastercard Inc A","3.90%","305.50","+1.02","+0.34%","1.48 M","199.99 - 347.25",
"MCHP","Microchip Technology Inc","0.36%","105.12","+1.34","+1.29%","1.52 M","53.15 - 113.28",
"MSFT","Microsoft Corp","21.28%","195.16","+1.59","+0.82%","17.61 M","130.78 - 198.52",
"MSI","Motorola Solutions Inc","0.35%","138.93","-2.99","-2.11%","456.12 K","120.77 - 187.49",
"MU","Micron Technology Inc","0.81%","51.20","+0.18","+0.35%","9.93 M","31.13 - 61.19",
"NTAP","NetApp Inc","0.15%","43.36","-0.99","-2.23%","1.19 M","34.66 - 65.38",
"NVDA","Nvidia Corp","3.20%","370.47","+7.73","+2.13%","7.46 M","143.65 - 380.00",
"ORCL","Oracle Corp","1.70%","51.98","-2.62","-4.79%","18.88 M","39.71 - 60.50",
"PAYX","Paychex Inc","0.35%","76.18","-0.28","-0.37%","780.68 K","47.87 - 90.54",
"QCOM","QUALCOMM Inc","1.47%","90.43","+0.91","+1.02%","5.57 M","58.00 - 96.17",
"STX","Seagate Technology","0.17%","51.19","-0.49","-0.95%","1.58 M","39.02 - 64.17",
"TEL","TE Connectivity Ltd.","0.40%","81.65","-0.55","-0.67%","794.65 K","48.62 - 101.00",
"TXN","Texas Instruments Inc","1.70%","127.10","+0.99","+0.79%","1.50 M","93.09 - 135.70",
"V","Visa Inc A","4.76%","194.39","+1.51","+0.78%","3.77 M","133.93 - 214.17",
"VRSN","VeriSign Inc","0.31%","209.64","+2.24","+1.08%","356.82 K","148.77 - 221.78",
"WDC","Western Digital Corp","0.19%","43.84","-0.63","-1.42%","2.46 M","27.40 - 72.00",
"WU","Western Union Co","0.13%","21.90","-0.09","-0.41%","3.10 M","17.39 - 28.45",
"XLNX","Xilinx Inc","0.34%","93.64","+0.16","+0.17%","1.02 M","67.68 - 133.00",
"XRX","Xerox Holdings Corp","0.05%","16.88","-0.52","-2.96%","1.70 M","14.22 - 39.47",
"AVGO","Broadcom Inc","1.78%","314.97","+4.25","+1.37%","1.42 M","155.67 - 331.58",
"SWKS","Skyworks Solutions Inc","0.32%","131.44","+3.05","+2.38%","1.02 M","67.90 - 138.22",
