"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"QRVO","Qorvo, Inc","0.19%","113.16","+0.58","+0.51%","675.30 K","60.77 - 122.37",
"PYPL","PayPal Holdings Inc.","2.73%","164.13","+2.91","+1.81%","3.73 M","82.07 - 162.83",
"HPE","Hewlett Packard Enterprise Co","0.19%","10.16","-0.26","-2.45%","6.36 M","7.43 - 17.59",
"GPN","Global Payments Inc","0.81%","182.53","-3.41","-1.83%","1.38 M","105.54 - 209.62",
"SNPS","Synopsys Inc","0.40%","189.55","+3.40","+1.83%","507.15 K","104.90 - 192.38",
"AMD","Advanced Micro Devices","0.92%","54.89","+0.43","+0.78%","33.34 M","27.43 - 59.27",
"DXC","DXC Technology Company","0.06%","15.98","-0.25","-1.51%","1.99 M","7.90 - 57.23",
"IT","Gartner Inc","0.16%","121.41","-0.67","-0.55%","286.85 K","76.91 - 171.78",
"ANSS","ANSYS Inc","0.35%","285.81","+3.22","+1.14%","251.11 K","186.81 - 299.06",
"CDNS","Cadence Design Systems Inc","0.37%","93.37","+1.35","+1.47%","686.82 K","51.39 - 94.18",
"IPGP","IPG Photonics Corp","0.08%","163.36","+1.39","+0.86%","133.71 K","98.04 - 170.03",
"BR","Broadridge Financial Solutions Inc.","0.21%","126.00","+0.89","+0.71%","318.80 K","81.90 - 136.99",
"FLT","FleetCor Technologies Inc","0.33%","258.83","-3.58","-1.36%","323.05 K","168.51 - 329.85",
"ANET","Arista Networks Inc","0.18%","227.29","-2.27","-0.99%","393.64 K","156.63 - 289.45",
"FTNT","Fortinet Inc","0.28%","135.86","-0.87","-0.64%","652.61 K","70.20 - 149.69",
"KEYS","Keysight Technologies Inc","0.27%","104.87","+3.42","+3.37%","1.65 M","77.93 - 110.00",
"JKHY","Jack Henry & Associates Inc.","0.20%","178.32","+2.43","+1.38%","200.48 K","123.64 - 195.03",
"MXIM","MAXIM INTEGRATED","0.23%","60.60","+0.72","+1.19%","1.07 M","41.93 - 65.73",
"LDOS","Leidos Holdings Inc","0.19%","100.40","+0.11","+0.11%","471.64 K","68.00 - 125.84",
"CDW","CDW Corp","0.25%","117.98","-1.39","-1.16%","353.19 K","73.39 - 146.09",
"NLOK","NortonLifeLock Inc.","0.17%","20.45","+0.12","+0.59%","2.33 M","15.12 - 28.70",
"NOW","ServiceNow Inc.","1.08%","400.88","+2.42","+0.61%","1.25 M","213.99 - 405.53",
"ZBRA","Zebra Technologies Corp","0.21%","261.84","-4.62","-1.73%","114.30 K","150.06 - 278.60",
"PAYC","Paycom Software Inc","0.22%","313.06","+0.42","+0.13%","207.59 K","163.42 - 342.00",
