"Holdings and weightings as of 7:28 PM ET 06/16/2020",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"WAB","Wabtec","0.54%","61.60","-1.28","-2.04%","680.92 K","35.07 - 81.75",
"LHX","L3Harris Technologies Inc","2.00%","191.86","+0.85","+0.44%","532.06 K","142.01 - 230.99",
"INFO","IHS Markit Ltd","1.38%","71.93","-0.34","-0.47%","645.17 K","44.81 - 81.65",
"IEX","IDEX Corp","0.56%","155.51","+0.52","+0.34%","117.37 K","104.56 - 178.14",
"ODFL","Old Dominion Freight Line Inc","0.74%","164.06","+1.79","+1.10%","287.55 K","92.31 - 171.77",
"J","Jacobs Engineering Group Inc","0.55%","85.92","+0.80","+0.93%","526.78 K","59.29 - 104.00",
"TT","Trane Technologies plc","1.04%","91.96","+0.28","+0.31%","713.84 K","70.00 - 146.85",
"IR","Ingersoll Rand Inc.","0.52%","29.86","-1.51","-4.81%","7.50 M","17.01 - 38.96",
"HWM","Howmet Aerospace Inc.","0.28%","14.99","-0.24","-1.58%","1.31 M","9.87 - 18.38",
"CARR","Carrier Global Corp.","0.85%","21.49","-0.58","-2.63%","3.59 M","12.26 - 24.40",
"OTIS","Otis Worldwide Corp","1.11%","56.78","-1.07","-1.85%","1.52 M","41.26 - 61.46",
"RTX","Raytheon Technologies Corp","4.73%","67.40","-0.42","-0.62%","5.96 M","40.71 - 93.45",
