Symbol,Company Name,Security Type,Security Price,Market Capitalization
CCL,Carnival Corporation & Plc,Common Stock,16.0117,$9.99B
ZNGA,Zynga Inc,Common Stock,10.32,$9.98B
BAP,Credicorp Ltd,Common Stock,128.31,$9.98B
CE,Celanese Corp,Common Stock,86.07,$9.94B
CBOE,Cboe Global Markets Inc,Common Stock,91.06,$9.90B
RCL,Royal Caribbean Cruises Ltd,Common Stock,51.12,$9.87B
ERIE,Erie Indemnity Co,Common Stock,193.58,$9.86B
FSLY,Fastly Inc,Common Stock,94.57,$9.86B
DISCA,Discovery Inc,Common Stock,20.145,$9.86B
PTC,PTC Inc,Common Stock,83.17,$9.83B
CG,Carlyle Group Inc (The),Common Stock,28.23,$9.81B
HAS,Hasbro Inc.,Common Stock,73.93,$9.80B
GWRE,Guidewire Software Inc,Common Stock,117.31,$9.77B
DVA,DaVita Inc,Common Stock,80.95,$9.71B
LYV,Live Nation Entertainment Inc,Common Stock,46.33,$9.70B
CFG,Citizens Financial Group Inc,Common Stock,23.99,$9.70B
RPM,RPM International Inc,Common Stock,75.49,$9.68B
KGC,Kinross Gold Corp,Common Stock,7.59,$9.64B
BKR,Baker Hughes a GE Co,Common Stock,14.955,$9.59B
CNP,CenterPoint Energy Inc.,Common Stock,19.235,$9.53B
BCH,Banco De Chile,Depository Receipt,18.68,$9.48B
EBR/B,Centrais Eletricas Brasileiras Sa-Eletrobras,Depository Receipt,6.9417,$9.41B
RF,Regions Financial Corp,Common Stock,10.245,$9.41B
MPW,Medical Properties Trust Inc,Common Stock (REIT),17.65,$9.41B
PHM,PulteGroup Inc,Common Stock,34.795,$9.39B
CXO,Concho Resources Inc,Common Stock,48.86,$9.36B
DBX,Dropbox Inc,Common Stock,22.205,$9.30B
VST,Vistra Corp,Common Stock,18.975,$9.28B
EMN,Eastman Chemical Co,Common Stock,70.06,$9.28B
VICI,VICI Properties Inc,Common Stock,19.905,$9.27B
LII,Lennox International Inc.,Common Stock,238.78,$9.27B
ALLE,Allegion Plc,Common Stock,101.04,$9.27B
NTAP,NetApp Inc,Common Stock,42.82,$9.26B
SII,Sprott Inc,Common Stock,37.9,$9.26B
AES,AES Corp (The),Common Stock,14.285,$9.26B
AAP,Advance Auto Parts Inc.,Common Stock,133.63,$9.24B
NLY,Annaly Capital Management Inc,Common Stock (REIT),6.57,$9.24B
L,Loews Corp,Common Stock,34.36,$9.24B
AVY,Avery Dennison Corp,Common Stock,111.42,$9.22B
CRL,Charles River Laboratories International Inc,Common Stock,181.215,$9.16B
LYFT,Lyft Inc,Common Stock,30.55,$9.15B
ICLR,Icon PLC,Common Stock,169.51,$9.15B
EBR,Centrais Eletricas Brasileiras Sa-Eletrobras,Depository Receipt,6.76,$9.13B
MMP,Magellan Midstream Partners LP,Unit Trust Fund,40.83,$9.09B
TXG,10x Genomics Inc,Common Stock,90.71,$9.06B
CNHI,CNH Industrial N.V.,Common Stock,6.845,$9.05B
PKG,Packaging Corp Of America,Common Stock,98.67,$9.05B
IMMU,Immunomedics Inc,Common Stock,41.28,$9.04B
XRAY,DENTSPLY SIRONA Inc,Common Stock,41.93,$9.04B
CHGG,Chegg Inc,Common Stock,74.73,$9.00B
RJF,Raymond James Financial Inc.,Common Stock,68.655,$8.97B
BEP,Brookfield Renewable Partners LP,Unit Trust Fund,49,$8.92B
FBHS,Fortune Brands Home & Security Inc,Common Stock,64.85,$8.85B
OCFT,OneConnect Financial Technology Co Ltd,Depository Receipt,27.97,$8.85B
CONE,CyrusOne Inc,Common Stock (REIT),75.77,$8.84B
DISCK,Discovery Inc,Common Stock,18.015,$8.83B
CPT,Camden Property Trust,Common Stock (REIT),89.145,$8.83B
CCK,Crown Holdings Inc,Common Stock,66.92,$8.79B
NI,NiSource Inc,Common Stock,23.57,$8.78B
FFIV,F5 Networks Inc,Common Stock,142.15,$8.78B
LW,Lamb Weston Holdings Inc,Common Stock,62.6133,$8.76B
BYND,Beyond Meat Inc,Common Stock,135.945,$8.74B
GFI,Gold Fields Ltd,Depository Receipt,10.4,$8.72B
IPGP,IPG Photonics Corp,Common Stock,161.165,$8.72B
ACAD,Acadia Pharmaceuticals Inc,Common Stock,55.61,$8.72B
WB,Weibo Corp,Depository Receipt,37.235,$8.63B
CIEN,Ciena Corp,Common Stock,54.92,$8.63B
DRI,Darden Restaurants Inc.,Common Stock,71.76,$8.62B
RDY,Dr Reddy'S Laboratories Ltd,Depository Receipt,51.93,$8.60B
PNW,Pinnacle West Capital Corp,Common Stock,78.27,$8.58B
IHG,Intercontinental Hotels Group PLC,Depository Receipt,47.88,$8.58B
ELAN,Elanco Animal Health Inc,Common Stock,21.94,$8.52B
WU,Western Union Co,Common Stock,21.36,$8.52B
ON,ON Semiconductor Corp,Common Stock,20.6,$8.51B
IONS,Ionis Pharmaceuticals Inc,Common Stock,61.725,$8.42B
CZR,Caesars Entertainment Corp,Common Stock,12.195,$8.39B
SJR,Shaw Communications Inc.,Common Stock,16.4,$8.33B
KC,Kingsoft Cloud Holdings Ltd,Depository Receipt,36.63,$8.33B
RGLD,Royal Gold Inc,Common Stock,127.25,$8.27B
GH,Guardant Health Inc,Common Stock,85.26,$8.27B
WHR,Whirlpool Corp,Common Stock,135.38,$8.26B
ENTG,Entegris Inc,Common Stock,59.01,$8.23B
CCC,Clarivate Analytics Plc,Common Stock,22.16,$8.23B
JHX,James Hardie Industries Plc,Depository Receipt,18.85,$8.22B
MYL,Mylan NV,Common Stock,16.07,$8.21B
DTP,DTE Energy Co,Unit Trust Fund,42.7,$8.19B
HBAN,Huntington Bancshares Inc,Common Stock,8.455,$8.17B
EQH,Equitable Holdings Inc,Common Stock,19.1,$8.17B
ESTC,Elastic NV,Common Stock,95.035,$8.15B
CUK,Carnival Corporation & Plc,Depository Receipt,12.94,$8.13B
WUBA,58.com Inc,Depository Receipt,54.69,$8.13B
PEGA,Pegasystems Inc,Common Stock,99.535,$8.11B
ASMIY,ASM International NV,Depository Receipt,166.49,$8.08B
BSAC,Banco Santander-Chile,Depository Receipt,17.01,$8.07B
FNF,Fidelity National Financial Inc FNF Group,Common Stock,30.59,$8.07B
CNA,CNA Financial Corp,Common Stock,31.19,$8.06B
ALB,Albemarle Corp,Common Stock,78.91,$8.05B
AMH,American Homes 4 Rent,Common Stock (REIT),26.525,$8.05B
GGG,Graco Inc.,Common Stock,48.34,$8.00B
HSIC,Henry Schein Inc,Common Stock,57.17,$7.99B
SEIC,SEI Investments Co,Common Stock,55.07,$7.97B
NRG,NRG Energy Inc,Common Stock,32.9,$7.94B
GNRC,Generac Holdings Inc,Common Stock,127.43,$7.94B
RE,Everest Re Group Ltd,Common Stock,206.43,$7.92B
ANGI,Angi Homeservices Inc,Common Stock,16.21,$7.91B
MGM,MGM Resorts International,Common Stock,16.09,$7.89B
MBT,Mobile TeleSystems PJSC,Depository Receipt,8.86,$7.82B
PCTY,Paylocity Holding Corp,Common Stock,144.08,$7.81B
FWONK,Formula One Group - The Liberty Media Group,Common Stock,34.22,$7.81B
SEDG,SolarEdge Technologies Inc,Common Stock,159.01,$7.80B
AEG,Aegon NV,Depository Receipt,3.1,$7.77B
LKQ,LKQ Corp,Common Stock,25.625,$7.73B
DOX,Amdocs Ltd,Common Stock,58.875,$7.71B
GLIBB,GCI Liberty Inc,Common Stock,72.8,$7.70B
GLIBA,GCI Liberty Inc,Common Stock,73.14,$7.68B
WYNN,Wynn Resorts Ltd,Common Stock,73.96,$7.67B
AOS,A. O. Smith Corp,Common Stock,48.19,$7.67B
OLED,Universal Display Corp,Common Stock,155.9,$7.66B
SMG,Scotts Miracle-Gro Co (The),Common Stock,138.81,$7.64B
FTCH,Farfetch Ltd,Common Stock,20.6141,$7.58B
IRM,Iron Mountain Inc,Common Stock (REIT),26.6,$7.54B
JNPR,Juniper Networks Inc,Common Stock,22.635,$7.53B
UHS,Universal Health Services Inc.,Common Stock,89.62,$7.53B
CHE,Chemed Corp,Common Stock,473.81,$7.50B
FIVN,Five9 Inc,Common Stock,118.74,$7.50B
TREX,Trex Co Inc,Common Stock,123.76,$7.48B
GL,Globe Life Inc,Common Stock,72.13,$7.47B
KNX,Knight-Swift Transportation Holdings Inc,Common Stock,43.89,$7.47B
UAL,United Airlines Holdings Inc,Common Stock,32.66,$7.46B
COLD,Americold Realty Trust,Common Stock,36.65,$7.41B
HST,Host Hotels & Resorts Inc,Common Stock (REIT),10.74,$7.41B
PRGO,Perrigo Co Plc,Common Stock,55.175,$7.40B
EXEL,Exelixis Inc,Common Stock,24.81,$7.39B
HRC,Hill-Rom Holdings Inc,Common Stock,111.015,$7.39B
CACC,Credit Acceptance Corp,Common Stock,424.19,$7.36B
RNR,RenaissanceRe Holdings Ltd,Common Stock,173.985,$7.35B
ATR,AptarGroup Inc.,Common Stock,114.485,$7.30B
MLCO,Melco Resorts & Entertainment Ltd,Depository Receipt,15.555,$7.26B
FWONA,Formula One Group - The Liberty Media Group,Common Stock,31.72,$7.26B
TS,"Tenaris SA, Luxembourg",Depository Receipt,12.57,$7.25B
FMCC,Federal Home Loan Mortgage Corp,Common Stock,2.195,$7.25B
NUAN,Nuance Communications Inc,Common Stock,25.48,$7.23B
TAP,Molson Coors Beverage Co,Common Stock,34.475,$7.20B
AGNC,AGNC Investment Corp,Common Stock (REIT),12.66,$7.19B
SAM,Boston Beer Co Inc. (The),Common Stock,595.6,$7.17B
SQM,Sociedad Quimica y Minera de Chile SA Soqimich,Depository Receipt,27.47,$7.17B
REYN,Reynolds Consumer Products Inc,Common Stock,34.27,$7.14B
BWA,BorgWarner Inc,Common Stock,35.255,$7.13B
REG,Regency Centers Corp.,Common Stock (REIT),42.59,$7.13B
ALLY,Ally Financial Inc,Common Stock,20.04,$7.11B
WSO,Watsco Inc.,Common Stock,184.22,$7.11B
MTN,Vail Resorts Inc.,Common Stock,180.75,$7.11B
NYT,New York Times Co (The),Common Stock,42.925,$7.10B
PUBGY,Publicis Groupe SA,Depository Receipt,7.54,$7.08B
GLPI,Gaming and Leisure Properties Inc,Common Stock (REIT),32.82,$7.05B
AZPN,Aspen Technology Inc,Common Stock,100.82,$7.05B
CVNA,Carvana Co,Common Stock,137.31,$7.02B
PLAN,Anaplan Inc,Common Stock,49.15,$7.02B
PFPT,Proofpoint Inc,Common Stock,122.17,$7.02B
SNA,Snap-On Inc,Common Stock,131.49,$7.00B
ENPH,Enphase Energy Inc,Common Stock,55.38,$6.98B
FWONB,Formula One Group - The Liberty Media Group,Common Stock,30,$6.95B
TTC,Toro Co (The),Common Stock,64.43,$6.91B
NWSA,News Corp,Common Stock,11.97,$6.90B
NWS,News Corp,Common Stock,11.98,$6.90B
OHI,Omega Healthcare Investors Inc.,Common Stock (REIT),30.31,$6.87B
XPO,XPO Logistics Inc,Common Stock,78.23,$6.86B
TXT,Textron Inc,Common Stock,31.04,$6.85B
WSO/B,Watsco Inc.,Common Stock,178.4,$6.84B
PSXP,Phillips 66 Partners LP,Unit Trust Fund,31.04,$6.83B
PAAS,Pan American Silver Corp,Common Stock,32.27,$6.82B
YY,JOYY Inc,Depository Receipt,84.26,$6.82B
WRK,WestRock Company,Common Stock,27.64,$6.80B
PEN,Penumbra Inc,Common Stock,191.345,$6.79B
COG,Cabot Oil & Gas Corp,Common Stock,17.515,$6.79B
HUBB,Hubbell Inc,Common Stock,124.51,$6.76B
CREE,Cree Inc.,Common Stock,62.76,$6.75B
Y,Alleghany Corp,Common Stock,487.1,$6.74B
WEX,WEX Inc,Common Stock,153.61,$6.73B
RGEN,Repligen Corp,Common Stock,126.595,$6.73B
ASND,Ascendis Pharma A/S,Depository Receipt,136.32,$6.72B
TSU,Tim Participacoes SA,Depository Receipt,13.9,$6.69B
VNO,Vornado Realty Trust,Common Stock (REIT),35.72,$6.67B
G,Genpact Ltd,Common Stock,35.38,$6.67B
BILL,Bill.com Holdings Inc,Common Stock,88.485,$6.64B
AMED,Amedisys Inc,Common Stock,207.36,$6.63B
VER,VEREIT Inc,Common Stock (REIT),6.1825,$6.62B
AQN,Algonquin Power & Utilities Corp,Common Stock,12.935,$6.61B
SBSW,Sibanye-Stillwater Limited,Depository Receipt,9.53,$6.59B
DLB,Dolby Laboratories Inc,Common Stock,65.73,$6.59B
WSM,Williams-Sonoma Inc.,Common Stock,85.14,$6.58B
GRUB,GrubHub Inc,Common Stock,71.6485,$6.57B
KRC,Kilroy Realty Corp,Common Stock (REIT),57.7,$6.56B
HII,Huntington Ingalls Industries Inc,Common Stock,166.415,$6.55B
SCI,Service Corp International,Common Stock,37.51,$6.54B
WLK,Westlake Chemical Corp,Common Stock,52.28,$6.52B
HNP,Huaneng Power International Inc,Depository Receipt,16.31,$6.51B
UMC,United Microelectronics Corp,Depository Receipt,2.755,$6.48B
HWM,Howmet Aerospace Inc,Common Stock,15.22,$6.44B
ZI,ZoomInfo Technologies Inc,Common Stock,43.76,$6.41B
RP,RealPage Inc,Common Stock,66,$6.41B
IPG,Interpublic Group of Cos Inc (The),Common Stock,16.99,$6.38B
OIBR/C,Oi SA,Depository Receipt,1.04,$6.37B
NWL,Newell Brands Inc,Common Stock,15.76,$6.37B
MORN,Morningstar Inc,Common Stock,149.655,$6.37B
PNR,Pentair plc,Common Stock,38.475,$6.35B
OLLI,Ollie's Bargain Outlet Holdings Inc,Common Stock,99.69,$6.34B
LNC,Lincoln National Corp,Common Stock,34.89,$6.32B
SMAR,Smartsheet Inc,Common Stock,51.36,$6.32B
BRKR,Bruker Corp,Common Stock,39.77,$6.31B
MKSI,MKS Instruments Inc,Common Stock,112.32,$6.28B
LITE,Lumentum Holdings Inc,Common Stock,82.63,$6.28B
HLF,Herbalife Nutrition Ltd,Common Stock,45.245,$6.27B
TNDM,Tandem Diabetes Care Inc,Common Stock,102.525,$6.25B
LAMR,Lamar Advertising Co,Common Stock (REIT),62.22,$6.24B
UGI,UGI Corp,Common Stock,30.84,$6.22B
BFAM,Bright Horizons Family Solutions Inc,Common Stock,109.55,$6.21B
CSL,Carlisle Cos Inc,Common Stock,113.71,$6.20B
BTG,B2Gold Corp,Common Stock,5.885,$6.20B
ADPT,Adaptive Biotechnologies Corp,Common Stock,45.791,$6.15B
GLOB,Globant SA,Common Stock,163.85,$6.14B
LEA,Lear Corp,Common Stock,104.36,$6.13B
CEA,China Eastern Airlines Corp Ltd,Depository Receipt,18.55,$6.13B
PAA,Plains All American Pipeline LP,Unit Trust Fund,8.365,$6.12B
ZLAB,Zai Lab Ltd,Depository Receipt,86.05,$6.11B
GNTX,Gentex Corp,Common Stock,25.16,$6.10B
BHC,Bausch Health Cos Inc,Common Stock,17.175,$6.08B
PHI,PLDT Inc,Depository Receipt,27.63,$6.06B
FSLR,First Solar Inc,Common Stock,57.28,$6.06B
SNX,SYNNEX Corp,Common Stock,120.7,$6.05B
CBSH,Commerce Bancshares Inc,Common Stock,55.37,$6.04B
NVCR,NovoCure Ltd,Common Stock,60.48,$6.03B
PRAH,PRA Health Sciences Inc,Common Stock,93.745,$6.02B
IPHI,Inphi Corp,Common Stock,126.68,$6.00B
OGE,OGE Energy Corp.,Common Stock,30.99,$6.00B
EHC,Encompass Health Corp,Common Stock,61.315,$5.99B
FND,Floor & Decor Holdings Inc,Common Stock,59.51,$5.98B
