Symbol,Company Name,Security Type,Security Price,Market Capitalization
TKC,Turkcell Iletisim Hizmet AS,Depository Receipt,5.72,$4.99B
ZION,Zions Bancorporation NA,Common Stock,31.95,$4.99B
LECO,Lincoln Electric Holdings Inc,Common Stock,84.19,$4.98B
PWR,Quanta Services Inc.,Common Stock,36.72,$4.98B
LEVI,Levi Strauss & Co,Common Stock,12.565,$4.96B
BC,Brunswick Corp,Common Stock,64.21,$4.96B
PB,Prosperity Bancshares Inc,Common Stock,54.32,$4.96B
CHDN,Churchill Downs Inc,Common Stock,126.85,$4.94B
EBS,Emergent BioSolutions Inc,Common Stock,93.18,$4.94B
H,Hyatt Hotels Corp,Common Stock,49.77,$4.94B
BL,BlackLine Inc,Common Stock,87.12,$4.93B
TTM,Tata Motors Ltd,Depository Receipt,7.4,$4.91B
CACI,CACI International Inc,Common Stock,199.28,$4.91B
NATI,National Instruments Corp,Common Stock,37.33,$4.91B
CDK,CDK Global Inc,Common Stock,40.44,$4.90B
BWXT,BWX Technologies Inc,Common Stock,51.82,$4.89B
RL,Ralph Lauren Corp,Common Stock,68.69,$4.89B
FLEX,Flex Ltd,Common Stock,9.845,$4.88B
FR,First Industrial Realty Trust Inc.,Common Stock (REIT),38.19,$4.88B
REXR,Rexford Industrial Realty Inc,Common Stock (REIT),41.765,$4.87B
ORCC,Owl Rock Capital Corp,Common Stock,12.38,$4.83B
WEN,Wendy's Co,Common Stock,21.97,$4.81B
ITT,ITT Inc,Common Stock,56.45,$4.81B
KT,Kt Corp,Depository Receipt,9.96,$4.81B
SRCL,Stericycle Inc,Common Stock,54.43,$4.79B
KMPR,Kemper Corp,Common Stock,76.15,$4.78B
OSK,Oshkosh Corp,Common Stock,71.67,$4.78B
JOBS,51job Inc,Depository Receipt,73.56,$4.76B
IFFT,International Flavors & Fragrances Inc,Unit Trust Fund,45.35,$4.75B
EEFT,Euronet Worldwide Inc,Common Stock,92.24,$4.75B
AAL,American Airlines Group Inc,Common Stock,11.82,$4.73B
SERV,ServiceMaster Global Holdings Inc,Common Stock,36.69,$4.73B
HESM,Hess Midstream LP,Common Stock,16.86,$4.72B
COR,CoreSite Realty Corp,Common Stock (REIT),122.94,$4.71B
NTNX,Nutanix Inc,Common Stock,23.2844,$4.71B
DLAKY,Deutsche Lufthansa AG,Depository Receipt,9.7732,$4.69B
ORI,Old Republic International Corp,Common Stock,15.925,$4.68B
CMA,Comerica Inc,Common Stock,35.53,$4.64B
DSGX,Descartes Systems Group Inc (The),Common Stock,54.03,$4.63B
AZEK,AZEK Company Inc (The),Common Stock,30.905,$4.61B
IVZ,Invesco Ltd,Common Stock,10.49,$4.61B
EGP,EastGroup Properties Inc.,Common Stock (REIT),117.26,$4.61B
EWBC,East West Bancorp Inc,Common Stock,33.9408,$4.61B
JBL,Jabil Inc,Common Stock,31.14,$4.60B
PSTG,Pure Storage Inc,Common Stock,17.305,$4.60B
ARWR,Arrowhead Pharmaceuticals Inc,Common Stock,44.73,$4.59B
FLO,Flowers Foods Inc.,Common Stock,21.93,$4.59B
QTWO,Q2 Holdings Inc,Common Stock,91.54,$4.59B
APA,Apache Corp,Common Stock,12.645,$4.56B
VRT,Vertiv Holdings Co,Common Stock,13.935,$4.56B
PCG,PG&E Corp,Common Stock,9.085,$4.55B
WWD,Woodward Inc,Common Stock,73.95,$4.49B
PLNT,Planet Fitness Inc,Common Stock,57.68,$4.49B
LSI,Life Storage Inc,Common Stock (REIT),96.42,$4.48B
SNDR,Schneider National Inc,Common Stock,25.075,$4.47B
DOYU,Douyu International Holdings Ltd,Depository Receipt,13.595,$4.47B
GMED,Globus Medical Inc,Common Stock,45.8,$4.47B
SLAB,Silicon Laboratories Inc,Common Stock,102.215,$4.47B
RBA,Ritchie Bros Auctioneers Inc,Common Stock,41.23,$4.47B
SITE,SiteOne Landscape Supply Inc,Common Stock,106.82,$4.46B
MDLA,Medallia Inc,Common Stock,30.065,$4.45B
ACC,American Campus Communities Inc,Common Stock (REIT),32.33,$4.44B
IDA,IDACORP Inc.,Common Stock,90.0935,$4.43B
LEG,Leggett & Platt Inc,Common Stock,34.74,$4.43B
BHVN,Biohaven Pharmaceutical Holding Co Ltd,Common Stock,73.84,$4.43B
MOS,Mosaic Company (The),Common Stock,12.215,$4.43B
PRI,Primerica Inc,Common Stock,113.04,$4.42B
LSTR,Landstar System Inc,Common Stock,114.72,$4.42B
CHH,Choice Hotels International Inc.,Common Stock,79.88,$4.41B
MMS,MAXIMUS Inc.,Common Stock,71.48,$4.41B
TERP,TerraForm Power Inc,Common Stock,19.22,$4.39B
GPS,Gap Inc,Common Stock,11.63,$4.39B
HAE,Haemonetics Corp,Common Stock,88.05,$4.38B
MOMO,Momo Inc,Depository Receipt,20.8,$4.38B
LM,Legg Mason Inc,Common Stock,49.795,$4.37B
DAO,Youdao Inc,Depository Receipt,39.788,$4.36B
NYCB,New York Community Bancorp Inc.,Common Stock,9.66,$4.36B
PBCT,People's United Financial Inc,Common Stock,11.11,$4.35B
NKTR,Nektar Therapeutics,Common Stock,24.025,$4.35B
MYOK,MyoKardia Inc,Common Stock,92.615,$4.34B
LB,L Brands Inc,Common Stock,15.79,$4.31B
MOR,"Morphosys AG, Martinsried",Depository Receipt,32.33,$4.31B
ACH,Aluminum Corp of China Ltd,Depository Receipt,6.17,$4.31B
STAG,STAG Industrial Inc,Common Stock (REIT),28.81,$4.29B
QLYS,Qualys Inc,Common Stock,109.64,$4.27B
MSA,MSA Safety Inc,Common Stock,111.14,$4.26B
SKX,Skechers U.S.A. Inc,Common Stock,28.84,$4.26B
FSV,FirstService Corp,Common Stock,101.35,$4.25B
BPMC,Blueprint Medicines Corp,Common Stock,79.17,$4.25B
HFC,HollyFrontier Corp,Common Stock,27.31,$4.24B
NEU,NewMarket Corp,Common Stock,393.4,$4.24B
FCN,FTI Consulting Inc.,Common Stock,110.955,$4.23B
GBT,Global Blood Therapeutics Inc,Common Stock,70.89,$4.22B
ALK,Alaska Air Group Inc.,Common Stock,35.81,$4.22B
