Symbol,Company Name,Security Type,Security Price,Market Capitalization
KBR,KBR Inc,Common Stock,21.36,$2.99B
ARD,Ardagh Group SA,Common Stock,13.15,$2.99B
VIAV,Viavi Solutions Inc,Common Stock,12.89,$2.98B
VIRT,Virtu Financial Inc,Common Stock,24.46,$2.96B
BCPC,Balchem Corp,Common Stock,93.78,$2.96B
ADC,Agree Realty Corp,Common Stock (REIT),63.53,$2.96B
KGFHF,Kingfisher PLC,Common Stock,2.79,$2.94B
AAN,Aaron's Inc,Common Stock,43.92,$2.94B
HMY,Harmony Gold Mining Co Ltd,Depository Receipt,5.765,$2.94B
INOV,Inovalon Holdings Inc,Common Stock,18.93,$2.93B
MTH,Meritage Homes Corp,Common Stock,78.85,$2.93B
PFGC,Performance Food Group Co,Common Stock,26.075,$2.93B
FL,Foot Locker Inc.,Common Stock,28.93,$2.92B
ALE,ALLETE Inc.,Common Stock,58.59,$2.91B
ACIW,ACI Worldwide Inc,Common Stock,25.765,$2.91B
BZUN,Baozun Inc,Depository Receipt,44.495,$2.90B
LPX,Louisiana-Pacific Corp,Common Stock,26.93,$2.90B
EXP,Eagle Materials Inc,Common Stock,70.625,$2.89B
SFM,Sprouts Farmers Market Inc,Common Stock,24.285,$2.89B
NJR,New Jersey Resources Corp,Common Stock,31.02,$2.89B
GIL,Gildan Activewear Inc,Common Stock,14.92,$2.89B
WPX,WPX Energy Inc,Common Stock,5.36,$2.88B
BXMT,Blackstone Mortgage Trust Inc,Common Stock (REIT),21.53,$2.88B
UFPI,UFP Industries Inc,Common Stock,48.42,$2.87B
PRLB,Proto Labs Inc,Common Stock,112.3,$2.87B
LPSN,LivePerson Inc,Common Stock,42.785,$2.86B
LAZ,Lazard Ltd,Common Stock,28.29,$2.86B
FEYE,FireEye Inc,Common Stock,12.645,$2.85B
HMSY,HMS Holdings Corp,Common Stock,32.6,$2.85B
NG,NovaGold Resources Inc,Common Stock,8.77,$2.85B
DAVA,Endava plc,Depository Receipt,52.5792,$2.85B
VVNT,Vivint Smart Home Inc,Common Stock,15.88,$2.85B
BLKB,Blackbaud Inc,Common Stock,57.53,$2.84B
PZZA,Papa John's International Inc,Common Stock,88.44,$2.83B
DNLI,Denali Therapeutics Inc,Common Stock,26.05,$2.83B
ACIA,Acacia Communications Inc,Common Stock,67.84,$2.83B
GTES,Gates Industrial Corp PLC,Common Stock,9.91,$2.83B
SHI,Sinopec Shanghai Petrochemical Co Ltd,Depository Receipt,25.66,$2.82B
KEX,Kirby Corp,Common Stock,46.58,$2.82B
AWR,American States Water Co,Common Stock,77.5901,$2.82B
SBRA,Sabra Health Care REIT Inc,Common Stock (REIT),14.04,$2.82B
ALTR,Altair Engineering Inc,Common Stock,38.66,$2.82B
RPD,Rapid7 Inc,Common Stock,55.76,$2.82B
GRP/U,Granite Real Estate Investment Trust,Unit Trust Fund (REIT),51.97,$2.82B
SID,Companhia Siderurgica Nacional,Depository Receipt,2.08,$2.82B
EDVMF,Endeavour Mining Corp,Common Stock,24.9934,$2.81B
VRNT,Verint Systems Inc,Common Stock,43.46,$2.81B
TX,Ternium SA,Depository Receipt,14.79,$2.81B
SSRM,SSR Mining Inc,Common Stock,22.32,$2.81B
