Symbol,Company Name,Security Type,Security Price,Market Capitalization
UCBI,United Community Banks Inc,Common Stock,17.842,$1.34B
GCP,GCP Applied Technologies Inc,Common Stock,19.145,$1.34B
MNR,Monmouth Real Estate Investment Corp,Common Stock (REIT),13.89,$1.34B
RGR,Sturm Ruger & Co Inc.,Common Stock,76.03,$1.34B
SSTK,Shutterstock Inc,Common Stock,37.19,$1.33B
LRN,K12 Inc,Common Stock,33.99,$1.33B
SKY,Skyline Champion Corp,Common Stock,24.28,$1.33B
TCDA,Tricida Inc,Common Stock,26.21,$1.32B
GTN,Gray Television Inc.,Common Stock,13.91,$1.32B
ARVN,Arvinas Inc,Common Stock,34.47,$1.32B
AMRC,Ameresco Inc,Common Stock,28.51,$1.32B
TCBI,Texas Capital Bancshares Inc,Common Stock,27.79,$1.32B
MTOR,Meritor Inc,Common Stock,18.88,$1.32B
EPRT,Essential Properties Realty Trust Inc.,Common Stock,14.62,$1.32B
CRVL,CorVel Corp.,Common Stock,73.58,$1.31B
NGM,NGM Biopharmaceuticals Inc,Common Stock,19.285,$1.31B
WSC,WillScot Mobile Mini Holdings Corp,Common Stock,12.43,$1.31B
TRHC,Tabula Rasa HealthCare Inc,Common Stock,58.475,$1.31B
RCKT,Rocket Pharmaceuticals Inc,Common Stock,22.7,$1.31B
CYRX,Cryoport Inc,Common Stock,33.67,$1.30B
MAG,MAG Silver Corp,Common Stock,14.77,$1.30B
BMA,Banco Macro SA,Depository Receipt,21.505,$1.30B
VGR,Vector Group Ltd,Common Stock,9.08,$1.30B
PATK,Patrick Industries Inc,Common Stock,59.15,$1.30B
TWO,Two Harbors Investment Corp,Common Stock (REIT),4.87,$1.30B
BDTX,Black Diamond Therapeutics Inc,Common Stock,33.98,$1.30B
CLI,Mack-Cali Realty Corp,Common Stock (REIT),14.42,$1.29B
PDCE,PDC Energy Inc,Common Stock,13.625,$1.29B
SNBR,Sleep Number Corp,Common Stock,52.86,$1.29B
ILPT,Industrial Logistics Properties Trust,Common Stock,20.17,$1.29B
FWRD,Forward Air Corp,Common Stock,48.245,$1.29B
ACB,Aurora Cannabis Inc,Common Stock,11.93,$1.29B
GOL,Gol Linhas Aereas Inteligentes SA,Depository Receipt,7.89,$1.28B
ITCB,Itau Corpbanca,Depository Receipt,4.05,$1.28B
KNSA,Kiniksa Pharmaceuticals Ltd,Common Stock,22.45,$1.28B
UE,Urban Edge Properties,Common Stock (REIT),11.04,$1.28B
GSHD,Goosehead Insurance Inc,Common Stock,82.61,$1.28B
WMK,Weis Markets Inc.,Common Stock,48.6,$1.28B
BSM,Black Stone Minerals LP,Unit Trust Fund,6.18,$1.28B
FRME,First Merchants Corp,Common Stock,24.53,$1.27B
CSGS,CSG Systems International Inc.,Common Stock,40.32,$1.27B
SGMO,Sangamo Therapeutics Inc,Common Stock,10.695,$1.27B
CHRS,Coherus BioSciences Inc,Common Stock,17.945,$1.27B
WSFS,WSFS Financial Corp,Common Stock,26.115,$1.26B
NAVI,Navient Corp,Common Stock,6.955,$1.26B
SUPN,Supernus Pharmaceuticals Inc,Common Stock,24.18,$1.25B
DQ,Daqo New Energy Corp,Depository Receipt,89.77,$1.25B
AMWD,American Woodmark Corp,Common Stock,73.72,$1.25B
CNXN,PC Connection Inc,Common Stock,47.1,$1.24B
NTLA,Intellia Therapeutics Inc,Common Stock,23.775,$1.24B
OSIS,OSI Systems Inc,Common Stock,69.41,$1.24B
REAL,RealReal Inc (The),Common Stock,13.79,$1.24B
WSBC,WesBanco Inc,Common Stock,19.32,$1.24B
EVA,Enviva Partners LP,Unit Trust Fund,37.3,$1.24B
ODT,Odonate Therapeutics Inc,Common Stock,38.74,$1.24B
GTN/A,Gray Television Inc.,Common Stock,12.38,$1.24B
MLHR,Herman Miller Inc,Common Stock,21.25,$1.23B
SWBI,Smith & Wesson Brands Inc,Common Stock,21.9,$1.23B
AMCX,AMC Networks Inc,Common Stock,24.44,$1.23B
HCAT,Health Catalyst Inc,Common Stock,33.495,$1.23B
CBZ,CBIZ Inc,Common Stock,22.92,$1.23B
SCS,Steelcase Inc.,Common Stock,10.43,$1.22B
RUSHB,Rush Enterprises Inc,Common Stock,34.87,$1.22B
MSC,Studio City International Holdings Ltd,Depository Receipt,15.79,$1.22B
FSCT,ForeScout Technologies Inc,Common Stock,24.6361,$1.22B
CNST,Constellation Pharmaceuticals Inc,Common Stock,29.19,$1.22B
VCTR,Victory Capital Holdings Inc,Common Stock,18.61,$1.22B
TTMI,TTM Technologies Inc,Common Stock,11.425,$1.22B
FORTY,Formula Systems (1985) Ltd,Depository Receipt,82.3,$1.22B
MGRC,McGrath RentCorp,Common Stock,51.09,$1.21B
THRM,Gentherm Inc,Common Stock,38.14,$1.21B
ADAP,Adaptimmune Therapeutics plc,Depository Receipt,9.3,$1.21B
ALX,Alexander's Inc.,Common Stock (REIT),237.25,$1.21B
VNE,Veoneer Inc,Common Stock,11.17,$1.21B
AAWW,Atlas Air Worldwide Holdings Inc.,Common Stock,47.14,$1.21B
TOWN,Townebank,Common Stock,17.59,$1.21B
LZB,La-Z-Boy Inc,Common Stock,26.91,$1.21B
DLPH,Delphi Technologies PLC,Common Stock,14.295,$1.20B
TEX,Terex Corp,Common Stock,17.835,$1.19B
RNST,Renasant Corp,Common Stock,22.385,$1.19B
FFBC,First Financial Bancorp.,Common Stock,12.67,$1.19B
KAI,Kadant Inc.,Common Stock,110.24,$1.19B
HLG,Hailiang Education Group Inc,Depository Receipt,48.6,$1.19B
NTB,Bank Butterfield & Son Ltd,Common Stock,23.95,$1.18B
SEAS,SeaWorld Entertainment Inc,Common Stock,15.735,$1.18B
SA,Seabridge Gold Inc,Common Stock,18.4642,$1.18B
NBTB,NBT Bancorp Inc,Common Stock,28.32,$1.18B
DY,Dycom Industries Inc.,Common Stock,38.27,$1.18B
FANH,Fanhua Inc,Depository Receipt,22.47,$1.18B
MATX,Matson Inc,Common Stock,36.82,$1.18B
ATKR,Atkore International Group Inc,Common Stock,25.57,$1.18B
GTY,Getty Realty Corp.,Common Stock (REIT),28.57,$1.18B
DK,Delek US Holdings Inc,Common Stock,17.17,$1.18B
ROIC,Retail Opportunity Investments Corp,Common Stock (REIT),10.4,$1.17B
BITA,Bitauto Holdings Ltd,Depository Receipt,15.85,$1.17B
CVA,Covanta Holding Corp,Common Stock,9.145,$1.17B
RCUS,Arcus Biosciences Inc,Common Stock,24.61,$1.17B
PJT,PJT Partners Inc,Common Stock,49.45,$1.17B
RIG,Transocean Ltd,Common Stock,1.875,$1.17B
AX,Axos Financial Inc.,Common Stock,20.03,$1.17B
OSPN,OneSpan Inc,Common Stock,28.88,$1.16B
ATRI,ATRION Corp,Common Stock,624.5,$1.16B
GPI,Group 1 Automotive Inc.,Common Stock,66.93,$1.16B
ATI,Allegheny Technologies Inc,Common Stock,9.615,$1.16B
OPRA,Opera Ltd,Depository Receipt,10.75,$1.16B
BANR,Banner Corp,Common Stock,34.51,$1.15B
BRMK,Broadmark Realty Capital Inc,Common Stock,8.905,$1.15B
RDWR,Radware Ltd,Common Stock,24.4,$1.15B
GTH,Genetron Holdings Ltd,Depository Receipt,13.555,$1.15B
INFN,Infinera Corp,Common Stock,6.14,$1.15B
OPI,Office Properties Income Trust,Common Stock (REIT),24.55,$1.15B
BANF,BancFirst Corp,Common Stock,36.69,$1.15B
DRD,DRDGold Ltd,Depository Receipt,16.12,$1.15B
CERS,Cerus Corp,Common Stock,6.905,$1.15B
AMSF,AMERISAFE Inc,Common Stock,62.34,$1.15B
GNMK,GenMark Diagnostics Inc,Common Stock,17.56,$1.15B
MTRN,Materion Corp,Common Stock,58.235,$1.15B
TNC,Tennant Co,Common Stock,63.43,$1.15B
MSTR,MicroStrategy Inc,Common Stock,117.26,$1.15B
AKRO,Akero Therapeutics Inc,Common Stock,36.8,$1.14B
X,United States Steel Corp,Common Stock,7.3681,$1.14B
HNI,HNI Corp,Common Stock,27.67,$1.14B
BDRAF,Bombardier Inc,Common Stock,0.47,$1.14B
