Symbol,Company Name,Security Type,Security Price,Market Capitalization
CAJ,Canon Inc,Depository Receipt,19.045,$19.99B
MTD,Mettler-Toledo International Inc,Common Stock,819.86,$19.86B
NDAQ,Nasdaq Inc,Common Stock,122.52,$19.85B
AMTD,TD AMERITRADE Holding Corp,Common Stock,37.62,$19.81B
AME,AMETEK Inc,Common Stock,86.67,$19.79B
LEN,Lennar Corp,Common Stock,64.98,$19.75B
RCI,Rogers Communications Inc,Common Stock,39.23,$19.67B
EFX,Equifax Inc.,Common Stock,162.74,$19.64B
O,Realty Income Corp.,Common Stock (REIT),56.93,$19.62B
EIX,Edison International,Common Stock,55.4266,$19.60B
ABC,AmerisourceBergen Corp,Common Stock,97,$19.60B
CPRT,Copart Inc,Common Stock,83.265,$19.57B
DISCB,Discovery Inc,Common Stock,37.88,$19.39B
YUMC,Yum China Holdings Inc,Common Stock,51.26,$19.36B
ETR,Entergy Corp.,Common Stock,98.19,$19.31B
CTVA,Corteva Inc,Common Stock,26.41,$19.27B
KKR,KKR & Co Inc,Common Stock,35.015,$19.23B
APTV,Aptiv Plc,Common Stock,76.275,$19.21B
CNQ,Canadian Natural Resources Ltd,Common Stock,16.61,$19.14B
WORK,Slack Technologies Inc,Common Stock,33.64,$19.12B
FERGY,Ferguson PLC,Depository Receipt,8.34,$18.98B
WIT,Wipro Ltd,Depository Receipt,3.345,$18.84B
CTXS,Citrix Systems Inc.,Common Stock,152.39,$18.78B
PPL,PPL Corp,Common Stock,25.27,$18.75B
FCX,Freeport-McMoRan Inc,Common Stock,12.9977,$18.72B
CHU,China Unicom (Hong Kong) Ltd,Depository Receipt,5.98,$18.66B
SPG,Simon Property Group Inc.,Common Stock (REIT),63.645,$18.66B
KEYS,Keysight Technologies Inc,Common Stock,97.44,$18.62B
AKAM,Akamai Technologies Inc,Common Stock,114.27,$18.52B
GRMN,Garmin Ltd,Common Stock,96.74,$18.51B
AJG,Arthur J. Gallagher & Co.,Common Stock,99.1,$18.51B
MPLX,MPLX LP,Unit Trust Fund,17.495,$18.44B
PTON,Peloton Interactive Inc,Common Stock,68.33,$18.20B
AEE,Ameren Corp,Common Stock,74.895,$18.18B
PAYC,Paycom Software Inc,Common Stock,309.33,$18.09B
RBS,Royal Bank of Scotland Group PLC,Depository Receipt,3.115,$18.08B
ROKU,Roku Inc,Common Stock,153.5484,$18.06B
ALNY,Alnylam Pharmaceuticals Inc,Common Stock,160.855,$18.00B
NTR,Nutrien Ltd,Common Stock,31.695,$17.79B
AKZOY,Akzo Nobel NV,Depository Receipt,30.41,$17.71B
MTCH,Match Group Inc,Common Stock,99.48,$17.66B
FRC,First Republic Bank,Common Stock,105.06,$17.54B
AMP,Ameriprise Financial Inc,Common Stock,148.5,$17.53B
FTS,Fortis Inc,Common Stock,38.17,$17.51B
WST,West Pharmaceutical Services Inc.,Common Stock,232.24,$17.36B
CAG,Conagra Brands Inc,Common Stock,36.195,$17.34B
CHKP,Check Point Software Technologies Ltd,Common Stock,119.22,$17.27B
MXIM,Maxim Integrated Products Inc.,Common Stock,64.13,$17.25B
RPRX,Royalty Pharma plc,Common Stock,47.56,$17.13B
TTWO,Take-Two Interactive Software Inc,Common Stock,153.54,$17.11B
ET,Energy Transfer LP,Unit Trust Fund,6.415,$17.08B
CCEP,Coca-Cola European Partners Plc,Common Stock,38.56,$17.01B
IQ,iQIYI Inc,Depository Receipt,23.08,$16.98B
TDOC,Teladoc Health Inc,Common Stock,228.61,$16.92B
CMS,CMS Energy Corp,Common Stock,59.44,$16.88B
WY,Weyerhaeuser Co,Common Stock (REIT),23.64,$16.87B
IMBBY,Imperial Brands PLC,Depository Receipt,17.7301,$16.87B
CQP,Cheniere Energy Partners LP,Unit Trust Fund,35.01,$16.86B
YNDX,Yandex NV,Common Stock,51.235,$16.84B
SNN,Smith & Nephew PLC,Depository Receipt,38.47,$16.82B
LH,Laboratory Corp of America Holdings,Common Stock,172.48,$16.81B
ZS,Zscaler Inc,Common Stock,125.53,$16.61B
TFX,Teleflex Inc,Common Stock,354.54,$16.57B
GIB,CGI Inc,Common Stock,63.8,$16.57B
ANET,Arista Networks Inc,Common Stock,216.335,$16.55B
GWW,Grainger (W.W.) Inc,Common Stock,309.51,$16.52B
DAL,Delta Air Lines Inc,Common Stock,27.103,$16.36B
AMCR,Amcor Plc,Common Stock,10.475,$16.32B
QSR,Restaurant Brands International Inc,Common Stock,54.76,$16.31B
DISH,DISH Network Corp,Common Stock,31.71,$16.13B
LUV,Southwest Airlines Co.,Common Stock,33.23,$16.07B
CDW,CDW Corp,Common Stock,113.9036,$16.01B
PINS,Pinterest Inc,Common Stock,26.52,$15.95B
TCOM,Trip com Group Ltd,Depository Receipt,26.93,$15.94B
BILI,Bilibili Inc,Depository Receipt,47.59,$15.92B
TSCO,Tractor Supply Co,Common Stock,138.07,$15.92B
AEM,Agnico Eagle Mines Ltd,Common Stock,64.86,$15.90B
NTRS,Northern Trust Corp,Common Stock,80.17,$15.90B
TRU,TransUnion,Common Stock,83.02,$15.86B
ELAT,Elanco Animal Health Inc,Unit Trust Fund,39.44,$15.64B
VIV,Telefonica Brasil SA,Depository Receipt,9.16,$15.64B
GFLU,GFL Environmental Inc,Unit Trust Fund,49.29,$15.63B
DGX,Quest Diagnostics Inc,Common Stock,116.62,$15.52B
NIO,Nio Inc,Depository Receipt,14.975,$15.51B
VMC,Vulcan Materials Co,Common Stock,118.625,$15.51B
BGNE,BeiGene Ltd,Depository Receipt,193.625,$15.49B
FCAU,Fiat Chrysler Automobiles NV,Common Stock,10.09,$15.34B
WMG,Warner Music Group Corp,Common Stock,30.93,$15.30B
WIX,Wix.com Ltd,Common Stock,290.775,$15.29B
VIPS,Vipshop Holdings Ltd,Depository Receipt,22.09,$15.20B
PXD,Pioneer Natural Resources Co,Common Stock,91.67,$15.08B
IX,Orix Corp,Depository Receipt,60.955,$15.06B
DPZ,Domino's Pizza Inc,Common Stock,397.89,$15.05B
ROL,Rollins Inc.,Common Stock,45.08,$15.01B
VIACA,ViacomCBS Inc,Common Stock,25.135,$14.97B
CPB,Campbell Soup Co,Common Stock,50.2,$14.92B
INVH,Invitation Homes Inc,Common Stock,27.44,$14.88B
BNTX,BioNTech SE,Depository Receipt,70.09,$14.88B
HOLX,Hologic Inc,Common Stock,57.66,$14.84B
LEN/B,Lennar Corp,Common Stock,48.58,$14.80B
FOX,Fox Corp,Common Stock,25.31,$14.77B
LBTYB,Liberty Global Plc,Common Stock,24.064,$14.72B
FOXA,Fox Corp,Common Stock,25.25,$14.71B
CBRE,CBRE Group Inc,Common Stock,44.15,$14.70B
TER,Teradyne Inc.,Common Stock,87.36,$14.68B
TIF,Tiffany & Co.,Common Stock,121.16,$14.68B
OXY,Occidental Petroleum Corp,Common Stock,16.54,$14.65B
ESS,Essex Property Trust Inc.,Common Stock (REIT),224.945,$14.65B
BR,Broadridge Financial Solutions Inc,Common Stock,125.9,$14.61B
EPAM,EPAM Systems Inc,Common Stock,259.585,$14.57B
PEAK,Healthpeak Properties Inc,Common Stock (REIT),26.46,$14.45B
CFXA,Colfax Corp,Unit Trust Fund,121.91,$14.44B
SSNC,SS&C Technologies Holdings Inc,Common Stock,56.385,$14.43B
TYL,Tyler Technologies Inc.,Common Stock,358.09,$14.36B
CAH,Cardinal Health Inc,Common Stock,49.47,$14.27B
DFS,Discover Financial Services,Common Stock,48.05,$14.23B
COO,Cooper Cos Inc (The),Common Stock,288.72,$14.23B
BIO,Bio-Rad Laboratories Inc,Common Stock,477.16,$14.17B
LBTYA,Liberty Global Plc,Common Stock,22.84,$14.09B
KMX,CarMax Inc,Common Stock,87.72,$14.03B
ATUS,Altice usa inc,Common Stock,23.455,$14.00B
JKHY,Henry (Jack) & Associates Inc,Common Stock,181.37,$13.97B
RYAAY,Ryanair Holdings PLC,Depository Receipt,66.06,$13.95B
NMR,Nomura Holdings Inc,Depository Receipt,4.545,$13.95B
ZBRA,Zebra Technologies Corp.,Common Stock,258.485,$13.90B
LBTYK,Liberty Global Plc,Common Stock,22.505,$13.89B
EXAS,EXACT Sciences Corp,Common Stock,92.105,$13.86B
EVRG,Evergy Inc,Common Stock,62.05,$13.80B
HES,Hess Corp,Common Stock,44.63,$13.72B
MDB,MongoDB Inc,Common Stock,228.51,$13.72B
DOV,Dover Corp,Common Stock,95.18,$13.65B
VIAC,ViacomCBS Inc,Common Stock,22.79,$13.59B
KSU,Kansas City Southern,Common Stock,144.36,$13.57B
ETSY,Etsy Inc,Common Stock,111.14,$13.56B
GDS,GDS Holdings Ltd,Depository Receipt,85.58,$13.47B
SWT,Stanley Black & Decker Inc,Unit Trust Fund,88.26,$13.46B
Z,Zillow Group Inc,Common Stock,62.16,$13.41B
PODD,Insulet Corp,Common Stock,206.65,$13.32B
ZG,Zillow Group Inc,Common Stock,61.72,$13.29B
MGA,Magna International Inc.,Common Stock,45.69,$13.29B
SRPT,Sarepta Therapeutics Inc,Common Stock,169.47,$13.25B
DRE,Duke Realty Corp,Common Stock (REIT),35.73,$13.22B
BXP,Boston Properties Inc,Common Stock (REIT),87.58,$13.21B
JBHT,J.B. Hunt Transport Services Inc.,Common Stock,127.57,$13.18B
FDS,FactSet Research Systems Inc.,Common Stock,351.51,$13.15B
AGR,Avangrid Inc,Common Stock,43.8,$13.15B
AU,AngloGold Ashanti Ltd,Depository Receipt,31.06,$13.09B
IFF,International Flavors & Fragrances Inc,Common Stock,124.995,$13.06B
MAS,Masco Corp,Common Stock,49.65,$13.05B
GLPG,Galapagos NV,Depository Receipt,191.65,$13.03B
SKM,SK Telecom Co Ltd,Depository Receipt,19.75,$13.02B
IP,International Paper Co,Common Stock,34.49,$13.01B
FNMA,Federal National Mortgage Association,Common Stock,2.165,$13.00B
QRVO,Qorvo Inc,Common Stock,111.7901,$12.97B
KL,Kirkland Lake Gold Ltd,Common Stock,45.64,$12.96B
BIO/B,Bio-Rad Laboratories Inc,Common Stock,436.97,$12.95B
PBA,Pembina Pipeline Corp,Common Stock,23.52,$12.90B
SUI,Sun Communities Inc.,Common Stock (REIT),135.415,$12.89B
MAA,Mid-America Apartment Communities Inc,Common Stock (REIT),113.34,$12.86B
MLM,Martin Marietta Materials Inc.,Common Stock,210.25,$12.86B
VTR,Ventas Inc.,Common Stock (REIT),35.69,$12.81B
EXPD,Expeditors International of Washington Inc.,Common Stock,77.65,$12.80B
MASI,Masimo Corp,Common Stock,231.18,$12.80B
HIG,Hartford Financial Services Group Inc. (The),Common Stock,37.46,$12.80B
HEI,HEICO Corp,Common Stock,94.53,$12.78B
STE,Steris Plc,Common Stock,150.475,$12.78B
FMX,Fomento Economico Mexican SAB de CV,Depository Receipt,59.07,$12.76B
GRFS,Grifols S.A.,Depository Receipt,18.55,$12.74B
TEVA,Teva Pharmaceutical Industries Ltd,Depository Receipt,11.61,$12.72B
WDC,Western Digital Corp,Common Stock,42.255,$12.70B
FMC,FMC Corp.,Common Stock,99.91,$12.67B
LNG,Cheniere Energy Inc.,Common Stock,48.55,$12.56B
PKX,Posco,Depository Receipt,38.47,$12.49B
TW,Tradeweb Markets Inc,Common Stock,54.69,$12.46B
SYF,Synchrony Financial,Common Stock,22.4846,$12.45B
DT,Dynatrace Inc,Common Stock,42.965,$12.37B
FITB,Fifth Third Bancorp,Common Stock,18.315,$12.37B
CDAY,Ceridian HCM Holding Inc,Common Stock,83.5,$12.37B
MKL,Markel Corp,Common Stock,912.55,$12.30B
PAGS,PagSeguro Digital Ltd,Common Stock,37.1,$12.30B
LN,LINE Corp,Depository Receipt,51.57,$12.29B
EXR,Extra Space Storage Inc,Common Stock (REIT),96.29,$12.29B
LDOS,Leidos Holdings Inc,Common Stock,87.11,$12.27B
REPYY,Repsol SA,Depository Receipt,8.601,$12.27B
FICO,Fair Isaac Corp,Common Stock,413.635,$12.27B
CTLT,Catalent Inc,Common Stock,78.04,$12.26B
MTB,M&T Bank Corp,Common Stock,99.81,$12.21B
NBIX,Neurocrine Biosciences Inc,Common Stock,128.38,$12.21B
GPC,Genuine Parts Co,Common Stock,85.24,$12.18B
CHNGU,Change Healthcare inc,Unit Trust Fund,40.09,$12.13B
NET,Cloudflare Inc,Common Stock,39.92,$12.05B
STX,Seagate Technology Plc,Common Stock,47.13,$12.04B
LNT,Alliant Energy Corp,Common Stock,49.045,$12.04B
NICE,NICE Ltd,Depository Receipt,193.905,$12.02B
TAP/A,Molson Coors Beverage Co,Common Stock,55.5101,$12.02B
AYX,Alteryx Inc,Common Stock,178.165,$11.99B
XYL,Xylem Inc,Common Stock,66.755,$11.97B
ABMD,ABIOMED Inc,Common Stock,264.935,$11.96B
ATO,Atmos Energy Corp,Common Stock,98.83,$11.95B
NVR,NVR Inc.,Common Stock,3266.575,$11.92B
GDDY,GoDaddy Inc,Common Stock,72.15,$11.84B
IEX,IDEX Corp,Common Stock,156.74,$11.84B
NLOK,NortonLifeLock Inc,Common Stock,20.2775,$11.83B
SJM,J.M. Smucker Co (The),Common Stock,105,$11.79B
BURL,Burlington Stores Inc,Common Stock,177.47,$11.78B
UI,Ubiquiti Inc,Common Stock,177.975,$11.77B
NUE,Nucor Corp,Common Stock,40.4611,$11.68B
ELS,Equity Lifestyle Properties Inc,Common Stock (REIT),62.47,$11.68B
OTEX,Open Text Corp,Common Stock,42.69,$11.68B
WAT,Waters Corp,Common Stock,188.38,$11.68B
BIP,Brookfield Infrastructure Partners LP,Unit Trust Fund,39.92,$11.62B
IR,Ingersoll Rand Inc,Common Stock,28.275,$11.61B
BRO,Brown & Brown Inc,Common Stock,41.395,$11.59B
HPE,Hewlett Packard Enterprise Co,Common Stock,9.23,$11.51B
EXPE,Expedia Group Inc,Common Stock,83.355,$11.50B
STNE,StoneCo Ltd,Common Stock,39.92,$11.49B
PKI,PerkinElmer Inc.,Common Stock,101.72,$11.47B
APO,Apollo Global Management Inc,Common Stock,49.94,$11.42B
WPC,W. P. Carey Inc,Common Stock (REIT),65.92,$11.39B
SHG,Shinhan Financial Group Co Ltd,Depository Receipt,24.371,$11.38B
LOGI,"Logitech International SA, Apples",Common Stock,66.8937,$11.26B
KB,KB Financial Group Inc,Depository Receipt,28.305,$11.20B
MPWR,Monolithic Power Systems Inc,Common Stock,246.655,$11.16B
POOL,Pool Corp,Common Stock,278.08,$11.15B
OMC,Omnicom Group Inc.,Common Stock,53.905,$11.07B
MT,Arcelormittal SA,Depository Receipt,11.44,$11.06B
HZNP,Horizon Therapeutics Public Ltd Co,Common Stock,56.975,$11.05B
AVLR,Avalara Inc,Common Stock,135.43,$10.99B
IMO,Imperial Oil Ltd,Common Stock,15.27,$10.98B
ACGL,Arch Capital Group Ltd,Common Stock,28.26,$10.97B
PFG,Principal Financial Group Inc.,Common Stock,41.75,$10.90B
CHRW,C.H. Robinson Worldwide Inc.,Common Stock,82.36,$10.88B
ETFC,E*TRADE Financial Corporation,Common Stock,51.16,$10.86B
ULTA,Ulta Beauty Inc,Common Stock,194.91,$10.83B
ARGX,arGEN-X SE,Depository Receipt,248.105,$10.82B
OKE,ONEOK Inc.,Common Stock,26.663,$10.82B
CINF,Cincinnati Financial Corp,Common Stock,70.19,$10.82B
BKI,Black Knight Inc,Common Stock,70.85,$10.80B
WAB,Wabtec Corp,Common Stock,57.65,$10.77B
NDSN,Nordson Corp,Common Stock,186.32,$10.76B
KEY,KeyCorp,Common Stock,11.47,$10.76B
VAR,Varian Medical Systems Inc,Common Stock,118.445,$10.75B
AVTR,Avantor Inc,Common Stock,18.16,$10.74B
ZEN,Zendesk Inc,Common Stock,92.48,$10.74B
LSXMB,Liberty Media Corp SiriusXM Group,Common Stock,33.96,$10.73B
CGNX,Cognex Corp,Common Stock,62,$10.69B
HTHT,Huazhu Group Ltd,Depository Receipt,36.395,$10.69B
TDY,Teledyne Technologies Inc.,Common Stock,296.16,$10.66B
LSXMA,Liberty Media Corp SiriusXM Group,Common Stock,33.85,$10.64B
UDR,UDR Inc,Common Stock (REIT),36.07,$10.61B
TRMB,Trimble Inc,Common Stock,42.41,$10.58B
TECH,Bio-Techne Corp,Common Stock,273.15,$10.57B
CTL,CenturyLink Inc,Common Stock,9.87,$10.57B
LSXMK,Liberty Media Corp SiriusXM Group,Common Stock,33.6,$10.55B
IT,Gartner Inc,Common Stock,118.93,$10.55B
MOH,Molina Healthcare Inc.,Common Stock,176.48,$10.54B
LVGO,Livongo Health Inc,Common Stock,104.2199,$10.46B
ATHM,Autohome Inc,Depository Receipt,89.83,$10.46B
BAH,Booz Allen Hamilton Holding Corp,Common Stock,75,$10.44B
WTRG,Essential Utilities Inc,Common Stock,43.22,$10.42B
SIVB,SVB Financial Group,Common Stock,211.1,$10.38B
URI,United Rentals Inc.,Common Stock,148.125,$10.35B
HUBS,HubSpot Inc,Common Stock,232.7,$10.33B
HAL,Halliburton Co,Common Stock,11.94,$10.30B
QDEL,Quidel Corp,Common Stock,245.975,$10.29B
HEI/A,HEICO Corp,Common Stock,76.79,$10.28B
IEP,Icahn Enterprises LP,Unit Trust Fund,48.34,$10.26B
J,Jacobs Engineering Group Inc.,Common Stock,78.88,$10.25B
PPD,PPD Inc,Common Stock,29.07,$10.19B
QGEN,Qiagen NV,Common Stock,45.01,$10.16B
CABO,Cable One Inc,Common Stock,1765,$10.15B
ASX,Ase Technology Holdings Co,Depository Receipt,4.795,$10.09B
BEN,Franklin Resources Inc,Common Stock,21.05,$10.04B
WRB,Berkley (W.R.) Corp,Common Stock,57.95,$10.03B
KEP,Korea Electric Power Corp,Depository Receipt,7.875,$10.03B
