Symbol,Company Name,Security Type,Security Price,Market Capitalization
CTSH,Cognizant Technology Solutions Corp,Common Stock,55.73,$29.91B
NGLOY,Anglo American PLC,Depository Receipt,12.23,$29.76B
ZTO,ZTO Express (Cayman) Inc,Depository Receipt,37.09,$29.69B
CM,Canadian Imperial Bank of Commerce,Common Stock,67.3,$29.53B
CHT,Chunghwa Telecom Co Ltd,Depository Receipt,37.88,$29.42B
TME,Tencent Music Entertainment Group,Depository Receipt,17.1,$29.35B
ADRNY,Koninklijke Ahold Delhaize NV,Depository Receipt,27.6471,$29.23B
DOW,Dow Inc,Common Stock,40.7,$29.21B
IDXX,IDEXX Laboratories Inc,Common Stock,339.33,$28.98B
CLX,Clorox Co (The),Common Stock,230,$28.90B
DDOG,Datadog Inc,Common Stock,96.55,$28.71B
ES,Eversource Energy,Common Stock,85.505,$28.45B
CDNS,Cadence Design Systems Inc,Common Stock,100.78,$28.35B
VRSK,Verisk Analytics Inc,Common Stock,173.61,$28.14B
BF/A,Brown-Forman Corp,Common Stock,59.32,$28.05B
RMD,Resmed Inc,Common Stock,192.05,$28.02B
TWTR,Twitter Inc,Common Stock,35.295,$28.01B
TROW,T. Rowe Price Group Inc,Common Stock,126.89,$28.00B
MAR,Marriott International Inc,Common Stock,88.11,$27.96B
APH,Amphenol Corp,Common Stock,94.9,$27.96B
CRH,CRH PLC,Depository Receipt,36.37,$27.94B
TRV,Travelers Companies Inc (The),Common Stock,113.99,$27.82B
ALC,Alcon Inc,Common Stock,56.79,$27.80B
OKTA,Okta Inc,Common Stock,218.3134,$27.78B
A,Agilent Technologies Inc,Common Stock,89.2,$27.70B
IQV,Iqvia Holdings Inc,Common Stock,142.57,$27.69B
CTAS,Cintas Corp,Common Stock,266.44,$27.69B
WEC,WEC Energy Group Inc,Common Stock,87.98,$27.59B
FNV,Franco-Nevada Corp,Common Stock,142.61,$27.38B
ALL,Allstate Corp (The),Common Stock,87.295,$27.08B
CSGP,CoStar Group Inc,Common Stock,718.21,$26.68B
COF,Capital One Financial Corp.,Common Stock,60.57,$26.57B
ING,ING Groep NV,Depository Receipt,7.23,$26.53B
MCHP,Microchip Technology Inc,Common Stock,105.865,$26.38B
HSY,Hershey Co (The),Common Stock,127.505,$26.38B
SMICY,Semiconductor Manufacturing International Corp,Depository Receipt,26.385,$26.35B
TEL,TE Connectivity Ltd,Common Stock,79.205,$26.17B
PAYX,Paychex Inc.,Common Stock,73.17,$26.15B
ANSS,ANSYS Inc,Common Stock,301.28,$26.08B
XP,XP Inc,Common Stock,47.02,$26.02B
YUM,YUM! Brands Inc.,Common Stock,87.16,$26.00B
RNG,RingCentral Inc,Common Stock,282.17,$25.96B
AZO,AutoZone Inc,Common Stock,1110.86,$25.86B
SYY,Sysco Corporation,Common Stock,52.05,$25.86B
EOG,EOG Resources Inc.,Common Stock,45.06,$25.81B
PSX,Phillips 66,Common Stock,60.22,$25.76B
PCAR,PACCAR Inc,Common Stock,75.36,$25.73B
WLTW,Willis Towers Watson plc,Common Stock,202.25,$25.62B
MFC,Manulife Financial Corp,Common Stock,13.47,$25.61B
RSG,Republic Services Inc.,Common Stock,81.84,$25.61B
LYG,Lloyds Banking Group PLC,Depository Receipt,1.505,$25.52B
KR,Kroger Co. (The),Common Stock,33.655,$25.49B
CMI,Cummins Inc.,Common Stock,173.57,$25.40B
MRVL,Marvell Technology Group Ltd,Common Stock,38.255,$25.36B
HRL,Hormel Foods Corp,Common Stock,48.13,$25.34B
CRWD,CrowdStrike Holdings Inc,Common Stock,116.28,$25.31B
WCN,Waste Connections Inc.,Common Stock,97.545,$25.22B
PEG,Public Service Enterprise Group Inc,Common Stock,50.75,$25.09B
STM,STMicroelectronics NV,Depository Receipt,28.66,$24.91B
FMS,Fresenius Medical Care AG &Co KGAA,Depository Receipt,42.36,$24.85B
JCI,Johnson Controls International Plc,Common Stock,33.705,$24.83B
NEE/PO,NextEra Energy Inc,Unit Trust Fund,52.08,$24.82B
PPG,PPG Industries Inc.,Common Stock,106.7,$24.79B
FAST,Fastenal Co,Common Stock,42.955,$24.69B
SIRI,Sirius XM Holdings Inc,Common Stock,5.69,$24.65B
VRSN,Verisign Inc,Common Stock,210.22,$24.59B
CS,Credit Suisse Group,Depository Receipt,10.55,$24.57B
CHA,China Telecom Corp Ltd,Depository Receipt,29.92,$24.56B
MKC,McCormick & Co Inc,Common Stock,185.05,$24.49B
ROK,Rockwell Automation Inc.,Common Stock,210.09,$24.48B
XLNX,Xilinx Inc.,Common Stock,98.9,$24.44B
AFL,AFLAC Inc,Common Stock,34.81,$24.40B
MKC/V,McCormick & Co Inc,Common Stock,185,$24.34B
ZBH,Zimmer Biomet Holdings Inc,Common Stock,118.77,$24.33B
FTNT,Fortinet Inc,Common Stock,146.285,$24.32B
OTIS,Otis Worldwide Corp,Common Stock,56.64,$24.30B
BCS,Barclays PLC,Depository Receipt,6,$24.25B
AIG,American International Group Inc,Common Stock,29.895,$24.12B
MRNA,Moderna Inc,Common Stock,62.54,$24.05B
SU,Suncor Energy Inc.,Common Stock,16,$23.99B
PANW,Palo Alto Networks Inc,Common Stock,248.245,$23.99B
ALXN,Alexion Pharmaceuticals Inc,Common Stock,108.31,$23.98B
ED,Consolidated Edison Inc.,Common Stock,72.48,$23.95B
SLB,Schlumberger Ltd,Common Stock,17.6199,$23.77B
AWK,American Water Works Co Inc,Common Stock,133.02,$23.66B
HPQ,HP Inc,Common Stock,16.915,$23.47B
INCY,Incyte Corp,Common Stock,105.13,$23.40B
NOK,Nokia Corp,Depository Receipt,4.12548,$23.40B
BLL,Ball Corp,Common Stock,72.4,$23.38B
EDU,New Oriental Education & Technology Group Inc,Depository Receipt,147.49,$23.38B
F,Ford Motor Co,Common Stock,6.055,$23.23B
LBRDK,Liberty Broadband Corp,Common Stock,128.41,$23.18B
GMAB,Genmab A/S,Depository Receipt,35.03,$23.10B
TEF,Telefonica SA,Depository Receipt,4.5725,$23.02B
EC,Ecopetrol SA,Depository Receipt,11.37,$22.96B
BMRN,Biomarin Pharmaceutical Inc,Common Stock,126.305,$22.92B
PRU,Prudential Financial Inc,Common Stock,60.485,$22.86B
MCK,McKesson Corp,Common Stock,143.49,$22.82B
BBVA,Banco Bilbao Vizcaya Argentaria SA (BBVA),Depository Receipt,3.545,$22.76B
LBRDA,Liberty Broadband Corp,Common Stock,125.61,$22.68B
FTV,Fortive Corp,Common Stock,67.21,$22.66B
VFC,V.F. Corp,Common Stock,60.39,$22.66B
PH,Parker-Hannifin Corp,Common Stock,175.41,$22.61B
K,Kellogg Co,Common Stock,67.06,$22.58B
LBRDB,Liberty Broadband Corp,Common Stock,125.35,$22.56B
MSI,Motorola Solutions Inc,Common Stock,127.88,$22.26B
SWKS,Skyworks Solutions Inc,Common Stock,130.42,$22.23B
TDG,TransDigm Group Inc,Common Stock,419.89,$22.21B
WMB,Williams Cos Inc. (The),Common Stock,18.44,$22.16B
BBY,Best Buy Co Inc,Common Stock,85.075,$21.83B
NEE/PP,NextEra Energy Inc,Unit Trust Fund,45.77,$21.83B
FE,FirstEnergy Corp.,Common Stock,41.29,$21.77B
STT,State Street Corporation,Common Stock,64.01,$21.70B
MPC,Marathon Petroleum Corp,Common Stock,35.65,$21.68B
DLTR,Dollar Tree Inc,Common Stock,91.69,$21.66B
W,Wayfair Inc,Common Stock,221.89,$21.60B
TT,Trane Technologies plc,Common Stock,91.175,$21.60B
ALGN,Align Technology Inc,Common Stock,272.955,$21.59B
AVB,AvalonBay Communities Inc.,Common Stock (REIT),152.16,$21.34B
TTD,Trade Desk Inc (The),Common Stock,460.3355,$21.31B
FLT,FleetCor Technologies Inc,Common Stock,252.475,$21.22B
CERN,Cerner Corp,Common Stock,69.93,$21.19B
SWK,Stanley Black & Decker Inc,Common Stock,139.31,$21.12B
EQR,Equity Residential,Common Stock (REIT),56.625,$21.10B
DHI,D.R. Horton Inc.,Common Stock,58.2854,$21.10B
TLK,PT Telekomunikasi Indonesia (Persero) TBK,Depository Receipt,21.24,$21.09B
LYB,LyondellBasell Industries NV,Common Stock,64.705,$21.06B
SLF,Sun Life Financial Inc,Common Stock,36.56,$21.04B
ADM,Archer-Daniels-Midland Co,Common Stock,39.28,$20.98B
GSX,GSX Techedu Inc,Depository Receipt,86.99,$20.98B
WPM,Wheaton Precious Metals Corp,Common Stock,46.44,$20.94B
TU,TELUS Corp,Common Stock,16.61,$20.91B
COUP,Coupa Software Inc,Common Stock,309.005,$20.87B
CHWY,Chewy Inc,Common Stock,48.745,$20.84B
ODFL,Old Dominion Freight Line Inc,Common Stock,177.535,$20.84B
MKTX,MarketAxess Holdings Inc,Common Stock,539.64,$20.80B
CARR,Carrier Global Corp,Common Stock,25.07,$20.71B
VLO,Valero Energy Corp,Common Stock,52.912,$20.55B
DTE,DTE Energy Co,Common Stock,107.67,$20.55B
HLT,Hilton Worldwide Holdings Inc,Common Stock,74.91,$20.55B
WELL,Welltower Inc,Common Stock (REIT),50.23,$20.54B
BSBR,Banco Santander Brasil SA,Depository Receipt,5.46,$20.52B
TSN,Tyson Foods Inc.,Common Stock,58.34,$20.29B
ARE,Alexandria Real Estate Equities Inc.,Common Stock (REIT),160.38,$20.17B
GLW,Corning Inc,Common Stock,26.605,$20.12B
CHD,Church & Dwight Co. Inc.,Common Stock,82.69,$20.09B
DB,Deutsche Bank AG,Common Stock,10.065,$20.07B
