"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"ANET","Arista Networks Inc","0.18%","211.70","+3.69","+1.77%","606.20 K","156.63 - 289.45",
"FTNT","Fortinet Inc","0.25%","134.06","+22.60","+20.28%","3.82 M","68.87 - 121.82",
"KEYS","Keysight Technologies Inc","0.30%","98.08","-0.81","-0.82%","597.24 K","71.03 - 110.00",
"JKHY","Jack Henry & Associates Inc.","0.22%","184.68","+6.18","+3.46%","372.28 K","123.64 - 179.81",
"MXIM","MAXIM INTEGRATED","0.23%","53.19","+0.31","+0.59%","775.08 K","41.93 - 65.73",
"LDOS","Leidos Holdings Inc","0.21%","100.52","+3.34","+3.44%","384.71 K","68.00 - 125.84",
"CDW","CDW Corp","0.25%","107.15","+0.38","+0.36%","422.08 K","73.39 - 146.09",
"NLOK","NortonLifeLock Inc.","0.20%","21.71","+0.19","+0.88%","1.77 M","15.12 - 28.70",
"NOW","ServiceNow Inc.","1.10%","380.69","+15.30","+4.19%","1.18 M","213.99 - 379.80",
"ZBRA","Zebra Technologies Corp","0.20%","235.64","+3.22","+1.39%","124.57 K","150.06 - 260.40",
"PAYC","Paycom Software Inc","0.20%","274.31","+19.27","+7.56%","526.65 K","163.42 - 342.00",
