"Holdings and weightings as of 5:48 PM ET 05/06/2020",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"ALLE","Allegion plc","0.50%","100.95","+2.96","+3.02%","351.78 K","77.37 - 139.24",
"AME","AMETEK Inc","1.03%","83.65","+1.93","+2.36%","597.77 K","54.82 - 102.31",
"BA","Boeing Co","3.59%","129.78","+7.92","+6.50%","21.31 M","89.00 - 391.00",
"CAT","Caterpillar Inc","3.27%","108.61","+0.94","+0.87%","2.46 M","87.50 - 150.55",
"CHRW","CH Robinson Worldwide Inc","0.52%","72.11","+1.68","+2.38%","557.23 K","56.94 - 91.23",
"CMI","Cummins Inc","1.30%","157.61","+3.96","+2.57%","394.29 K","101.03 - 186.73",
"CTAS","Cintas Corp","0.97%","214.94","+4.77","+2.27%","181.73 K","154.33 - 304.81",
"DAL","Delta Air Lines","0.67%","22.10","+1.10","+5.21%","32.20 M","19.10 - 63.44",
"DE","Deere & Co","2.29%","136.56","+4.43","+3.35%","438.52 K","106.14 - 181.99",
"DOV","Dover Corp","0.72%","91.15","+0.78","+0.86%","251.22 K","62.95 - 120.26",
"EFX","Equifax Inc","0.97%","149.30","+3.04","+2.08%","312.34 K","103.01 - 164.77",
"EMR","Emerson Electric Co","1.83%","55.70","+1.12","+2.05%","1.19 M","37.75 - 78.38",
"ETN","Eaton Corp plc","1.82%","81.26","+1.34","+1.68%","1.02 M","56.42 - 105.78",
"EXPD","Expeditors Intl of WA Inc","0.68%","74.73","+1.99","+2.74%","498.27 K","52.55 - 81.64",
"FAST","Fastenal Co","1.19%","38.32","+0.47","+1.23%","1.83 M","26.72 - 39.31",
"FDX","FedEx Corp","1.52%","117.76","+2.64","+2.29%","922.16 K","88.69 - 183.47",
"FLS","Flowserve Corp","0.19%","27.40","+0.75","+2.81%","420.34 K","18.98 - 53.98",
"GD","General Dynamics","1.57%","127.03","+5.30","+4.35%","883.11 K","100.55 - 193.76",
"GE","General Electric Co","2.87%","6.20","+0.22","+3.60%","59.43 M","5.90 - 13.26",
"GWW","W.W. Grainger Inc","0.67%","282.07","+1.57","+0.56%","140.73 K","200.61 - 346.60",
"HON","Honeywell Intl Inc","5.23%","134.48","+1.44","+1.08%","1.20 M","101.08 - 184.06",
"ITW","Illinois Tool Works Inc","2.56%","157.81","-0.98","-0.61%","521.38 K","115.94 - 190.85",
"KSU","Kansas City Southern Inc","0.69%","132.58","+5.33","+4.19%","652.81 K","92.86 - 178.59",
"LMT","Lockheed Martin","5.17%","382.08","+3.50","+0.92%","618.67 K","266.11 - 442.53",
"LUV","Southwest Airlines Co","0.72%","25.80","+0.87","+3.47%","14.18 M","24.77 - 58.83",
"MAS","Masco Corp","0.65%","42.09","+0.80","+1.93%","1.00 M","27.04 - 50.06",
"MMM","3M Co","4.63%","146.55","+0.35","+0.24%","1.37 M","114.04 - 187.72",
"NLSN","Nielsen Holdings plc","0.26%","13.81","+0.66","+4.98%","965.43 K","11.62 - 24.72",
"NOC","Northrop Grumman Corp","2.79%","326.19","+3.16","+0.98%","223.76 K","263.31 - 385.01",
"NSC","Norfolk Southern Corp","2.41%","170.50","+3.25","+1.94%","444.37 K","112.62 - 219.88",
"PCAR","PACCAR Inc","1.30%","69.03","+0.73","+1.07%","620.75 K","49.11 - 83.41",
"PH","Parker-Hannifin Corp","1.08%","157.71","+5.22","+3.43%","409.35 K","93.00 - 215.94",
"PNR","Pentair PLC","0.31%","34.29","+0.75","+2.24%","373.03 K","22.01 - 47.43",
"PWR","Quanta Services Inc","0.27%","33.44","-0.48","-1.40%","996.89 K","23.77 - 44.09",
"RHI","Robert Half Intl Inc","0.28%","45.36","+1.47","+3.35%","429.25 K","32.38 - 63.97",
"ROK","Rockwell Automation Inc","1.20%","191.30","+2.09","+1.10%","300.98 K","115.38 - 209.61",
"ROP","Roper Technologies, Inc","2.01%","360.53","+9.37","+2.67%","366.09 K","240.00 - 395.00",
"RSG","Republic Services Inc","0.91%","81.59","+3.04","+3.87%","693.44 K","65.37 - 100.91",
"SNA","Snap On Inc","0.36%","122.62","+2.92","+2.44%","192.68 K","90.72 - 172.61",
"SWK","Stanley Black & Decker","0.89%","109.54","+3.43","+3.23%","985.40 K","70.00 - 173.67",
"TXT","Textron Inc","0.31%","26.09","+1.02","+4.07%","626.44 K","20.26 - 54.24",
"UNP","Union Pacific Corp","5.90%","157.56","+3.26","+2.11%","1.06 M","105.08 - 188.96",
"UPS","United Parcel Service Inc B","3.58%","93.46","+0.53","+0.56%","1.54 M","82.00 - 125.31",
"WM","Waste Management Inc","2.08%","102.16","+5.36","+5.54%","1.20 M","85.34 - 126.79",
"XYL","Xylem Inc","0.62%","64.09","+1.03","+1.63%","836.37 K","54.62 - 89.34",
"URI","United Rentals Inc","0.46%","114.18","+3.37","+3.04%","655.88 K","58.85 - 170.04",
"AAL","American Airlines Group Inc.","0.20%","9.58","+0.33","+3.59%","42.40 M","9.09 - 34.99",
"JBHT","J.B. Hunt Transport Services","0.47%","100.79","+1.26","+1.27%","225.32 K","75.29 - 122.29",
"VRSK","Verisk Analytics Inc","1.40%","160.07","+4.89","+3.15%","378.36 K","116.61 - 171.73",
"CSX","CSX Corporation","2.68%","64.13","+1.50","+2.40%","1.72 M","46.81 - 80.62",
"ALK","Alaska Air Group Inc","0.19%","28.58","+0.75","+2.69%","1.53 M","20.02 - 72.22",
"TDG","TransDigm Group","0.88%","330.95","+11.48","+3.59%","312.56 K","200.06 - 673.51",
"FBHS","Fortune Brands Home & Security Inc","0.40%","53.64","+1.70","+3.27%","447.53 K","33.90 - 73.28",
"FTV","Fortive Corp","0.94%","58.65","+0.88","+1.52%","908.73 K","37.31 - 84.10",
"JCI","Johnson Controls International plc","1.20%","28.58","+0.27","+0.95%","2.53 M","22.78 - 44.82",
"AOS","A.O. Smith Corp","0.33%","43.21","-0.44","-1.01%","669.75 K","33.81 - 52.61",
"HII","Huntington Ingalls Industries Inc.","0.40%","173.50","-5.15","-2.88%","304.37 K","147.14 - 279.71",
"CPRT","Copart Inc","0.90%","82.12","+1.99","+2.48%","649.96 K","55.69 - 104.88",
"UAL","United Airlines Holding, Inc","0.31%","23.63","+0.72","+3.14%","26.35 M","17.80 - 96.03",
"ROL","Rollins Inc","0.32%","41.73","+0.39","+0.94%","474.02 K","30.72 - 41.91",
"WAB","Wabtec","0.53%","55.15","+2.26","+4.27%","583.55 K","35.07 - 81.75",
"LHX","L3Harris Technologies Inc","2.22%","185.43","+2.92","+1.60%","637.41 K","142.01 - 230.99",
"INFO","IHS Markit Ltd","1.44%","66.51","+1.30","+1.99%","747.02 K","44.81 - 81.65",
"IEX","IDEX Corp","0.64%","154.44","+2.74","+1.81%","167.28 K","104.56 - 178.14",
"ODFL","Old Dominion Freight Line Inc","0.80%","150.65","-1.64","-1.08%","697.94 K","87.25 - 154.54",
"J","Jacobs Engineering Group Inc","0.58%","79.91","+1.56","+1.99%","612.34 K","59.29 - 104.00",
"TT","Trane Technologies plc","1.05%","81.01","+1.19","+1.48%","856.12 K","70.00 - 146.85",
"IR","Ingersoll Rand Inc.","0.52%","28.12","+0.84","+3.06%","696.02 K","17.01 - 38.96",
"HWM","Howmet Aerospace Inc.","0.24%","12.14","+0.65","+5.61%","1.15 M","10.34 - 15.40",
"CARR","Carrier Global Corp.","0.73%","16.86","+0.57","+3.47%","4.76 M","12.26 - 18.08",
"OTIS","Otis Worldwide Corp","1.08%","52.07","+3.76","+7.77%","2.72 M","41.26 - 51.73",
"RTX","Raytheon Technologies Corp","4.68%","57.55","-0.37","-0.64%","11.97 M","48.05 - 158.44",
